date,location,url,image_file,detected_faces,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,emotion_value
11/11/2020,IUB,https://www.idsnews.com/article/2020/11/black-voices-open-letter-yt-women-yt-gay-men-who-call-me-sis,IUB_11112020_1640.png,1,['happy'],[0.0006144144486211468],[9.55614723583797e-07],[0.39157085131953373],[49.79271886261927],[0.1982470977824447],[0.2060056443966203],[49.41084675918183],1.9860854893085635
11/8/2020,IUB,https://www.idsnews.com/article/2020/11/black-vocies-colorism-is-a-plague-in-the-black-community,IUB_11082020_1641.png,0,,,,,,,,,
10/27/2020,IUB,https://www.idsnews.com/article/2020/10/black-voices-americans-must-educate-themselves-on-sars,IUB_10272020_1642.png,0,,,,,,,,,
10/6/2020,IUB,https://www.idsnews.com/article/2020/10/iupd-investigates-alleged-rape-forest-quad,IUB_10062020_1643.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
9/22/2020,IUB,https://www.idsnews.com/article/2020/09/opinion-trump-indiana-death-penalty,IUB_09222020_1644.png,0,,,,,,,,,
8/30/2020,IUB,https://www.idsnews.com/article/2020/08/why-we-should-defend-cardi-b-and-megan-thee-stallions-wap,IUB_08302020_1645.png,1,['sad'],[4.657179453227321e-06],[9.000593862679932e-09],[4.168071846251002],[1.3981468372641766e-06],[95.83178733776732],[2.314226964603554e-12],[0.00013767582597458652],-2.987355123066157
7/5/2020,IUB,https://www.idsnews.com/article/2020/07/first-baby-box-installed-in-bloomington,IUB_07052020_1646.png,1,['sad'],[0.028495682636275887],[2.288469401771822e-12],[10.596421360969543],[8.425590547521747e-12],[79.86543774604797],[6.087856740743681e-15],[9.509646892547607],-2.6332330347077995
4/27/2020,IUB,https://www.idsnews.com/article/2020/04/column-maybe-we-should-stop-romanticizing-villains,IUB_04272020_1647.png,1,['sad'],[9.645544737577438],[0.0045312564907362685],[2.9046598821878433],[0.2521023852750659],[50.157976150512695],[0.00895931079867296],[37.02622652053833],-1.9534565030964697
4/2/2020,IUB,https://www.idsnews.com/article/2020/04/opinion-hoosiers-be-vigilant-of-threats-to-abortion-laws-during-pandemic,IUB_04022020_1648.png,0,,,,,,,,,
3/2/2020,IUB,https://www.idsnews.com/article/2020/03/the-woman-behind-the-boxes,IUB_03022020_1649.png,2,['happy'],[1.3834342560414825e-07],[9.356258172735221e-14],[0.8939978666603565],[99.10264611244202],[0.0033191645343322307],[3.325923216834781e-05],[2.9998322048641057e-06],3.9461266312565577
